reference_date,log_truf,log_bls,regime
2020-01-31,4.651924860906522,4.807923257254545,0
2020-02-29,4.675186921147701,4.811794035305011,0
2020-03-31,4.67109741117968,4.800391515132724,0
2020-04-30,4.633121298530578,4.762729336089456,0
2020-05-31,4.605301207404411,4.738336511983901,0
2020-06-30,4.60766193899149,4.750698081953034,0
2020-07-31,4.608432060287106,4.758543420826153,0
2020-08-31,4.621323673067444,4.761378746924794,0
2020-09-30,4.644132788910716,4.7635149156228165,0
2020-10-31,4.641294658809496,4.763523451141243,0
2020-11-30,4.619465568368456,4.765680599767931,0
2020-12-31,4.603009112550102,4.770404924336281,0
2021-01-31,4.633604151954953,4.779669562475906,0
2021-02-28,4.645318757009633,4.771870361879089,0
2021-03-31,4.656019827976468,4.774777930361971,0
2021-04-30,4.656652371034678,4.7849217765794085,0
2021-05-31,4.661235866901711,4.794086615393003,0
2021-06-30,4.659791544222432,4.798588281174769,0
2021-07-31,4.653027743986976,4.798423440122381,0
2021-08-31,4.667550254341557,4.799955414197246,0
2021-09-30,4.6813396546541215,4.796211944399098,0
2021-10-31,4.686934358782245,4.808682295353074,0
2021-11-30,4.669329428958791,4.817131447899731,0
2021-12-31,4.6620606633807204,4.82633578243867,0
2022-01-31,4.689830842197326,4.832114505224322,0
2022-02-28,4.7090417396920365,4.836258097144217,0
2022-03-31,4.718495174859691,4.83979161373472,0
2022-04-30,4.7062363229869915,4.837059382416864,0
2022-05-31,4.706301011103276,4.841766837182048,0
2022-06-30,4.705943217211374,4.847582888992338,0
2022-07-31,4.699379186990252,4.847284646267641,0
2022-08-31,4.710826891777289,4.847504412688217,0
2022-09-30,4.732119236201133,4.848806322601138,0
2022-10-31,4.727824864786711,4.850286557046029,0
2022-11-30,4.715918697292853,4.8546674085948975,0
2022-12-31,4.706814977886707,4.855734332878293,0
2023-01-31,4.730190683474599,4.863140194454346,0
2023-02-28,4.752093588997284,4.869371224092075,0
2023-03-31,4.756379203365801,4.870806016120773,0
2023-04-30,4.748276616279826,4.8719324573373575,0
2023-05-31,4.746491546620932,4.875220223702292,0
2023-06-30,4.739262888548712,4.87609768111607,0
2023-07-31,4.732600615527764,4.877880742509727,0
2023-08-31,4.742603427739077,4.876417951976448,0
2023-09-30,4.75206824905713,4.870131076302848,0
2023-10-31,4.747075672807718,4.877286741898261,0
2023-11-30,4.723193423904713,4.868295699093839,0
2023-12-31,4.709599514225454,4.867088197053189,0
2024-01-31,4.722121418013957,4.865108433130778,0
2024-02-29,4.744320349960652,4.8699085531192345,0
2024-03-31,4.756903325919238,4.874861388918953,0
2024-04-30,4.771966996789945,4.884595767230029,0
2024-05-31,4.7647374922285755,4.883006447124347,0
2024-06-30,4.762914258980768,4.882468533685133,0
2024-07-31,4.749967637575216,4.879531428832028,0
2024-08-31,4.7629877232402205,4.878360254786437,0
2024-09-30,4.78962417586297,4.8868769417395095,0
2024-10-31,4.771707270876056,4.88083787389271,0
2024-11-30,4.746657925275233,4.880465862788823,0
2024-12-31,4.746657925275233,4.87952382822854,0
2025-01-31,4.733375898570435,4.8708826850108755,0
2025-02-28,4.742642866523523,4.875922251217027,0
2025-03-31,4.761658793588296,4.878154777679288,0
2025-04-30,4.774167408458659,4.8767304984321616,1
2025-05-31,4.763859163574381,4.873531814874431,1
2025-06-30,4.7570871643893335,4.876829578134241,1
2025-07-31,4.756637414291987,4.877895968656065,1
2025-08-31,4.7488845593808895,4.880481049624874,1
2025-09-30,4.769090354292061,4.885910721622822,1
2025-11-30,4.7772338517204185,4.8819151658974835,1
2025-12-31,4.746520440240903,4.885200558708808,1
2026-01-31,4.736373275216659,4.888264249605023,1
2026-02-28,4.757832902203501,4.900961787145006,1
2026-03-31,4.788568512857019,4.911212669771805,1
