horizon_months,oil<-oil,oil<-gas,oil<-truf_fuel,gas<-oil,gas<-gas,gas<-truf_fuel,truf_fuel<-oil,truf_fuel<-gas,truf_fuel<-truf_fuel
0,1.0,0.0,0.0,0.33367308357592995,0.6663269164240702,0.0,0.1754575049273135,0.11127412146458097,0.7132683736081056
1,0.9999619602005346,3.373385217915507e-05,4.305947286192596e-06,0.3335302240161985,0.6664687642980114,1.011685790260172e-06,0.26678794520497184,0.05033973969900004,0.6828723150960281
2,0.9998377671586705,0.0001413201572688075,2.091268406080904e-05,0.3331856805847632,0.6668103139944728,4.00542076411222e-06,0.2968048461616035,0.05412586799810685,0.6490692858402897
3,0.9996026551207317,0.00034698627980068905,5.0358599467743235e-05,0.3329102231802237,0.6670809635586064,8.813261169933108e-06,0.289496743186261,0.1228536281297921,0.587649628683947
4,0.9992293419431307,0.0006803822498850887,9.027580698422968e-05,0.33273821821723903,0.6672467695188617,1.5012263899155852e-05,0.2604244127643344,0.23137495565710986,0.5082006315785557
5,0.9986906819996162,0.0011714518581055675,0.00013786614227827507,0.3326677211473885,0.6673100876968289,2.2191155782630676e-05,0.22337547895495286,0.349578730073889,0.427045790971158
6,0.9979614652739218,0.0018479096937361968,0.00019062503234208936,0.3326890190109143,0.6672809707758697,3.0010213216051452e-05,0.1871661490662774,0.45811280070554183,0.3547210502281809
7,0.9970195706660272,0.002733951263216118,0.00024647807075666697,0.33279082849479535,0.6671709688370238,3.820266818093266e-05,0.1556644261353332,0.5495249140007008,0.29481065986396604
8,0.9958467317504698,0.003849509909474645,0.0003037583400556162,0.33296204419956993,0.6669913924086222,4.656339180801422e-05,0.12974091011850095,0.6233614581370983,0.24689763174440085
9,0.9944290183667609,0.005209831810483464,0.0003611498227556874,0.33319229559742675,0.6667527676468756,5.4936755697439674e-05,0.10894870395977244,0.6819645816088354,0.209086714431392
10,0.992757088470143,0.006825281420086399,0.0004176301097706216,0.33347211436675367,0.6664646793841275,6.32062491188912e-05,0.09244268639969551,0.7282719569197939,0.1792853566805106
11,0.9908262475023143,0.008701332516834906,0.0004724199808507808,0.33379295674915826,0.6661357571632086,7.128608763320462e-05,0.0793717240194033,0.7649528384938581,0.15567543748673868
12,0.9886363462684045,0.010838713062134424,0.0005249406694610983,0.3341471684249649,0.6657737170347646,7.911454027055342e-05,0.06900867278790214,0.7941775221328955,0.13681380507920246
13,0.9861915457856572,0.013233676207583332,0.0005747780067596331,0.33452792697620054,0.6653854243767814,8.664864701815202e-05,0.06077168697612612,0.8176302464311633,0.12159806659271039
14,0.9834999761767558,0.015878371436609372,0.0006216523866348298,0.33492917709314285,0.6649769628654159,9.386004144141941e-05,0.054207897536714796,0.8365935358690723,0.10919856659421298
15,0.9805733154387463,0.018761290979045712,0.0006653935822081371,0.33534556533728666,0.6645537030145807,0.00010073164813269656,0.048968313307778316,0.8520388829680304,0.09899280372419132
16,0.9774263124506513,0.02186776795071816,0.0007059195986306578,0.3357723775190979,0.6641203674083538,0.00010725507254838301,0.04478420707272337,0.8647035963735805,0.09051219655369606
17,0.9740762767507665,0.025180504353922335,0.00074321889531103,0.3362054799755766,0.6636810914851219,0.00011342853930151306,0.04144779521970102,0.8751505043830188,0.08340170039728025
18,0.9705425553963023,0.02868010916734249,0.0007773354363550355,0.3366412651722929,0.6632394795623942,0.00011925526531279068,0.03879731529211214,0.8838126273672019,0.07739005734068602
19,0.966846014662146,0.03234562920813494,0.0008083561297189527,0.337076601636021,0.6627986561859525,0.00012474217802664145,0.036705792637088265,0.8910260765624034,0.07226813080050833
20,0.9630085415357742,0.03615505816802448,0.0008364002962013171,0.33750878802687534,0.6623613130655313,0.00012989890759336682,0.035072672039392065,0.8970541639973554,0.06787316396325263
21,0.9590525770403436,0.04008581208707299,0.0008616108725831926,0.33793551107481146,0.661929751928556,0.0001347369966325832,0.033817598343266725,0.9021050909041087,0.06407731075262457
22,0.9550006904936394,0.044115162403862,0.0008841471024986247,0.33835480707943777,0.6615059236377606,0.00013926928280156805,0.032875784061023046,0.906344983192286,0.06077923274669091
23,0.9508752010055357,0.04822062048740173,0.0009041785070626822,0.33876502667553765,0.6610914639058917,0.00014350941857063236,0.03219454231035086,0.9099075596029741,0.057897898086675094
24,0.9466978499318289,0.052380270110687015,0.00092187995748411,0.33916480258416287,0.6606877259159579,0.00014747149987922602,0.03173067533891679,0.9129013560858403,0.055367968575242794
