date,yoy_pct,p_high
2021-01-31,3.7844409300401116,0.9999999999999988
2021-02-28,4.116631349950506,1.0
2021-03-31,4.092493789810936,1.0
2021-04-30,3.5402620663276485,0.999999999999981
2021-05-31,3.6844965854349043,0.9999999999999989
2021-06-30,3.757982900474799,0.9999999999999849
2021-07-31,1.1676848989122135,0.41657564196296454
2021-08-31,0.5499345174489356,0.07775374537226756
2021-09-30,0.7961723387631237,0.020487349568128865
2021-10-31,0.8377731593135929,0.010106772497695841
2021-11-30,1.0377356499440271,0.013342779203007074
2021-12-31,1.3010107904705803,0.02186722678144014
2022-01-31,0.9440507959352251,0.01043025616423901
2022-02-28,1.0220584994486304,0.00809731745531758
2022-03-31,0.12092543263595434,0.006139633352691491
2022-04-30,0.6612250016029941,0.003831181796679334
2022-05-31,0.26682806420466054,0.005847898763946215
2022-06-30,0.3714372841030489,0.014015838564889287
2022-07-31,0.050369018164864165,0.0591703102513646
2022-08-31,0.25393286226875755,0.16818000235348932
2022-09-30,-0.305148828146129,0.6523537570455965
2022-10-31,-0.5128083163946751,0.9099755399384103
2022-11-30,1.2304050012296397,0.9373554627100621
2022-12-31,2.3211994474611863,0.9999822238578715
2023-01-31,2.590103125634502,0.9999999105650912
2023-02-28,2.060067186232817,0.9999623745841086
2023-03-31,2.085977916752424,0.9999513879196524
2023-04-30,1.6403685690865144,0.9934941198259539
2023-05-31,1.6967658132116314,0.9535286279144559
2023-06-30,0.18754750228211492,0.47941228191492796
2023-07-31,0.8533054748739444,0.3697278437655225
2023-08-31,-0.03278593012446818,0.41313157538817874
2023-09-30,0.01683767666467162,0.5350064030350296
2023-10-31,-0.32409754774288535,0.8464288994923453
2023-11-30,-1.8563208831254063,0.9999999929348329
2023-12-31,-2.9665581284149756,1.0
2024-01-31,-3.140074268839166,1.0
2024-02-29,-2.8091049015391834,1.0
2024-03-31,-1.9244381894488183,0.9999999998557338
2024-04-30,-1.1737680681769946,0.9999949825586711
2024-05-31,-0.9313032581802494,0.9966482337119698
2024-06-30,0.3899915771450546,0.29431717673465607
2024-07-31,-0.18696308992869337,0.1711201065276519
2024-08-31,0.628846893020274,0.03261554001358915
2024-09-30,0.7461173239096563,0.008740043143278831
2024-10-31,0.8119551457336671,0.004313431576334356
2024-11-30,0.43714007805109034,0.0028845297042829486
2024-12-31,0.543429009841101,0.0025604207885929577
2025-01-31,0.6553269872685341,0.002723711021033028
2025-02-28,0.8109899726870484,0.003540082431445115
2025-03-31,0.9311213279682429,0.0050218187447600236
2025-04-30,0.7182166682204949,0.006710562542962527
2025-05-31,0.4649721616751812,0.021303453359617947
2025-06-30,0.41900279760311854,0.10630533990258448
2025-07-31,-0.2275802669691629,0.574001670420787
2025-08-31,-0.534922982885877,0.9513825709071032
2025-09-30,-1.521803926861054,0.9999996760641587
2025-10-31,-0.8252722526743028,0.9997539590024555
2025-11-30,-0.4436538954173841,0.9899314624203234
2025-12-31,0.1733166155445831,0.9588251622504902
2026-01-31,-2.501037004941109,0.9999999999999739
2026-02-28,-2.862687663542418,1.0
2026-03-31,-3.0327826874299024,1.0
2026-04-30,-2.776774861696485,0.9999999999999999
