date,yoy_pct,p_high
2021-01-31,-0.2594790565114691,0.9996592190255814
2021-02-28,0.043538123456721145,0.9999639221615487
2021-03-31,-0.6842830723938542,0.9999971251929826
2021-04-30,0.02639163050317528,0.999970865434437
2021-05-31,0.222127664980043,0.9999420181487287
2021-06-30,0.37430491700112256,0.9997554274677101
2021-07-31,0.5978699952158495,0.9965489424036393
2021-08-31,1.2219756568718765,0.9607390316071851
2021-09-30,1.7215321297702424,0.8589883237513778
2021-10-31,1.14857767515828,0.7366566896630679
2021-11-30,2.7054417297535327,0.3255571004690758
2021-12-31,2.3292430581585366,0.15422072209143983
2022-01-31,3.1491984453018373,0.05603448694598465
2022-02-28,2.762045639158539,0.022998111050835355
2022-03-31,3.0849803181471236,0.009618927505210158
2022-04-30,2.506801605677933,0.005315274309824075
2022-05-31,2.840647822168507,0.002813164072043697
2022-06-30,3.568893613685531,0.001688105819074454
2022-07-31,3.495157185107156,0.0014046990071376372
2022-08-31,3.9545112086777356,0.001573787712434737
2022-09-30,4.363496570974967,0.0020726659351168585
2022-10-31,4.677186203323047,0.002468395829591879
2022-11-30,3.2006461703685707,0.0018698406110340497
2022-12-31,4.091303614933106,0.00213042217283807
2023-01-31,3.445665174383894,0.0030317338577885654
2023-02-28,4.078229300445835,0.006475153937477522
2023-03-31,5.208701952263661,0.015373113805469796
2023-04-30,5.635810941062891,0.019591398707089994
2023-05-31,4.679634795069565,0.011186497668349938
2023-06-30,4.094460539594835,0.005365054434600488
2023-07-31,4.198504469043374,0.0032774261546892496
2023-08-31,3.4573887002714576,0.002532680911174881
2023-09-30,2.0219026608145674,0.003429902833792024
2023-10-31,2.731704784551825,0.0023162358121209536
2023-11-30,4.0119731469727915,0.0017013154261002394
2023-12-31,3.060286966184611,0.001466902374461302
2024-01-31,3.9171418206399355,0.0015027345786297647
2024-02-29,4.4172387424331605,0.0018317001294541476
2024-03-31,3.0742760735609664,0.0017154551658326652
2024-04-30,3.940657773341316,0.002157497081299172
2024-05-31,4.552863695604792,0.003609635932460964
2024-06-30,4.595156743579731,0.005222890183973594
2024-07-31,4.514139875264966,0.007412745410916693
2024-08-31,4.753880512296571,0.011632853897676114
2024-09-30,5.58642127531348,0.017091715959256508
2024-10-31,4.855654876469129,0.011667583006074907
2024-11-30,4.2681981510385825,0.006446251339211089
2024-12-31,4.575373153396622,0.00449787388545579
2025-01-31,3.712455795174008,0.0029679838766816556
2025-02-28,2.995653755608796,0.0033840757308775944
2025-03-31,3.07488318888145,0.005832533706315221
2025-04-30,2.3329453381121024,0.01347500658620886
2025-05-31,2.29852954372598,0.025651197469322748
2025-06-30,1.7303674485243725,0.04555145373128296
2025-07-31,2.169755190512257,0.058455833095899225
2025-08-31,1.9920661273653328,0.07827016398470242
2025-09-30,1.8553016723772187,0.1008465751508959
2025-10-31,2.559278329150816,0.12088939971288827
2025-11-30,2.358076060823122,0.17100941604166375
2025-12-31,2.513499029004196,0.2634719807056565
2026-01-31,2.864169389827298,0.45748643917826076
2026-02-28,6.531671272051787,0.970550311479691
2026-03-31,7.83567781936183,0.9999702742370175
2026-04-30,7.644221446869071,0.9999187935119082
