strategy,n,monthly_mean_$,monthly_sd_$,annual_mean_$,annual_sd_$,sharpe,max_dd_$,total_pnl_$
unhedged,130,-6847.052035540559,119150.76614343765,-82164.6244264867,412750.3614423832,-0.19906614772996692,-2855810.400424105,-890116.7646202727
static_50%,130,4850.707211432239,130184.45639941272,58208.486537186865,450972.1856790362,0.12907334063084488,-808521.9078994528,630591.937486191
bvar_dynamic,130,16401.455067279614,224710.28762959377,196817.46080735535,778419.2703157451,0.2528424825961998,-1308536.395872803,2132189.1587463496
