date,yoy_pct,trend_ll,seasonal_ll
2021-01-31,1.1888015747285596,1.5565366064315647,-0.179637251070188
2021-02-28,1.9868267529813854,2.120377155264168,-0.08799794351257184
2021-03-31,2.7907047092414095,2.79908768102837,-0.05214337363766228
2021-04-30,3.5804696810993075,3.367447273235612,0.10881222600240126
2021-05-31,3.787733694994122,3.6730192682501266,0.05736045166574216
2021-06-30,4.001434478851795,3.833961314145786,0.194471744438513
2021-07-31,4.360114579311847,4.0629858810465835,0.2184269368189814
2021-08-31,4.182832330531849,4.093547625832438,0.18019829625173817
2021-09-30,4.43638668441062,4.353366856302333,0.16717171401042935
2021-10-31,4.930956645390427,4.82539252860432,-0.005668989018402959
2021-11-30,4.913196177085588,5.016920843732913,-0.2565460784847484
2021-12-31,4.185309865870024,4.823078258445939,-0.34444773346423363
2022-01-31,5.28055098101079,5.368904579192948,-0.1796372510701844
2022-02-28,5.6408689615199625,5.684540227810163,-0.08799794351257134
2022-03-31,5.86819816871007,5.888396962018528,-0.05214337363766191
2022-04-30,6.13001487936633,6.011698808421253,0.1088122260024007
2022-05-31,6.148312965037328,6.111034737751665,0.057360451665742274
2022-06-30,6.598951545513532,6.261012162921232,0.1944717444385145
2022-07-31,6.362670129516901,6.0492061689280705,0.2184269368189778
2022-08-31,5.96768727462107,5.597744599301527,0.18019829625173864
2022-09-30,4.465908249398498,4.667803205866385,0.16717171401043124
2022-10-31,4.573300082189191,4.668540003435731,-0.005668989018405665
2022-11-30,4.666583853626416,4.89514849260114,-0.2565460784847525
2022-12-31,5.014016191545867,5.05119597588882,-0.3444477334642279
2023-01-31,4.0037486907407605,4.4324035673184135,-0.17963725107018502
2023-02-28,4.506350343739185,4.441560772662376,-0.08799794351257029
2023-03-31,3.886743817429572,4.065432556535398,-0.05214337363766322
2023-04-30,4.181232492371656,4.008414737620051,0.10881222600239844
2023-05-31,3.9423336433811684,3.789993696806087,0.057360451665743356
2023-06-30,3.472205857340782,3.332062151317778,0.19447174443851423
2023-07-31,3.207041229805374,3.011130027770875,0.2184269368189761
2023-08-31,2.5629753493854324,2.746976001501614,0.18019829625173422
2023-09-30,3.9568838949571195,3.401225194882335,0.16717171401044167
2023-10-31,2.9475329828229757,3.0758238417898087,-0.005668989018408038
2023-11-30,2.7021351545798877,3.0596389778299464,-0.25654607848475586
2023-12-31,2.986031567266534,3.298040016044049,-0.3444477334642298
2024-01-31,3.6120558297969563,3.4546386667638176,-0.1796372510701757
2024-02-29,2.4926505201189775,2.7612846734770162,-0.08799794351257542
2024-03-31,2.3784454379314646,2.5234423653581075,-0.05214337363765971
2024-04-30,2.8235471311612192,2.519749560245445,0.10881222600239565
2024-05-31,2.026404851028474,2.0243607484433133,0.057360451665742856
2024-06-30,1.6947036407621185,1.6684635889991877,0.19447174443851578
2024-07-31,1.868839725197713,1.7367975507398006,0.2184269368189703
2024-08-31,2.3449261614821193,2.0229686156258864,0.18019829625173966
2024-09-30,2.036205189372531,1.9516643175671804,0.1671717140104388
2024-10-31,2.150677568279824,2.0887308340416335,-0.005668989018406817
2024-11-30,1.8575577803846333,2.0552902740511407,-0.2565460784847576
2024-12-31,1.618977163783386,1.873539056113133,-0.34444773346423085
2025-01-31,1.0334552583043166,1.465122038428051,-0.1796372510701749
2025-02-28,1.6266200553785026,1.6922497744192784,-0.08799794351257499
2025-03-31,2.209019245537447,1.862971390994693,-0.05214337363765467
2025-04-30,0.7355291891982585,1.0295712009694022,0.1088122260023886
2025-05-31,1.1944759441867792,1.212051563809119,0.05736045166574481
2025-06-30,1.8974750947682972,1.5834987796485698,0.19447174443851936
2025-07-31,1.77949716228194,1.653590423297743,0.21842693681896647
2025-08-31,2.2377536336813053,1.9569909437431983,0.18019829625174127
2025-09-30,2.2913625426624895,2.0067974783806397,0.16717171401044031
2025-10-31,1.735305724493319,1.7605723211696858,-0.0056689890184066245
2025-11-30,1.141343012417706,1.5637665981750146,-0.2565460784847595
2025-12-31,1.320133334893825,1.785255429377478,-0.34444773346423496
2026-01-31,2.4744632448545634,2.3110497018396994,-0.1796372510701682
2026-02-28,1.9900625897322888,1.9717702139216393,-0.08799794351257358
2026-03-31,1.0558104671620994,1.3644576305717397,-0.05214337363766046
2026-04-30,1.5284547206769306,1.4039725777094643,0.10881222600239117
