strategy,n,annual_mean_$,annual_sd_$,sharpe,max_dd_$,total_pnl_$
1. unhedged,130,-82164.6244264867,412750.3614423832,-0.19906614772996692,-2855810.400424105,-890116.7646202727
"2. static DBO (β-opt, look-ahead)",130,-46329.64037338257,348728.45059280243,-0.1328530559942183,-1947914.5189463578,-501904.4373783112
"3. rolling DBO (β-opt, 36m)",130,-54391.276043135585,357554.9856281171,-0.1521200325247497,-2090622.6443633894,-589238.8238006355
4. rolling basket OLS,130,-16168.93954710423,380918.3055416335,-0.04244726313195521,-2023794.6179616374,-175163.51176029583
5. BVAR-modulated basket,130,-25952.70538773769,382982.3633249157,-0.06776475334902003,-2232783.8973013135,-281154.3083671583
