label,n,sigma_low,sigma_high,p_stay_low,p_stay_high,n_high_months,frac_high
health,64,0.4846321412197597,3.475411472891651,0.9060622664751848,0.9149829998082404,32,0.5
education,64,1.0210612347590653,3.125700912845278,0.9667290482068195,0.9580835449700953,13,0.203125
communications,64,0.38863949350060234,2.3311016389709027,0.8899667939186054,0.9276747691491111,34,0.53125
alcohol_tobacco,64,0.7699319489336215,2.586456890828558,0.9773870292530406,0.9423850560182354,23,0.359375
